Title,Ingredients,Procedures,Nutrition,Yield,Age_group,Cooking_time,Prep_time,Price,recipe_id,Source
"
Creamy Fern Soup 
","
2 ;Tbsp ;Unsalted butter or margarine 
1⁄4 ;cup  ;Onion, Bombay, sliced 
1⁄2 ;cup  ;Chicken, breast, sliced thinly 
4 ;cups ; Water 
1 ;pc  ;Chicken bouillon (optional) 
1 ;cup  ;Potato, diced 
4 ;cups ; Fiddlehead fern, fresh, cleaned 
1⁄2 ;can  ;Milk, evaporated, tall 
1 ;Tbsp ; Iodized salt 
1⁄8 ;tsp  ;Black pepper ","
1. Heat butter or margarine in a pan. Sauté onion and chicken. 
2. Add chicken broth. Cover and bring to boil. 
3. Add potato, cook for 5 minutes or until tender. 
4. Add the milk and reduce heat to medium, heat until nearly boiling. Do not let the soup boil or the milk will curdle. 
5. Season with salt and pepper. 
6. Add fern, simmer for two minutes. 
7. Serve hot.
","
Energy, kcal ;117 ;Thiamin, mg ;0.05 
Protein, g ;7 ;Riboflavin, mg ;0.17 
Calcium, mg ;124 ;Niacin, mg ;3.7 
Iron, mg ;1.2 ;Vitamin C, mg ;10 
Vitamin A, μg RE ;196 ;;
","
Serving size ;1 cup 
Weight per serving ;230g 
Number of serving ;7 servings 
",,,,'',fnri-2012-8cre,fnri
"
Beefy Sigarilyas 
","
3 ;Tbsp ;Cooking oil 
2 ;cups ;Boneless beef, sliced thinly 
1⁄4 ;cup ;Garlic, crushed 
1 ;pc ;Beef bouillon, optional 
5 ;cups ;Water 
2 ;Tbsp ;Soy sauce 
3 ;Tbsp ;Sugar, white 
2 ;cups ;Sigarilyas, sliced diagonally 
2 ;Tbsp ;Green onion, sliced thinly 
","
1. In a pan, heat oil. Stir fry beef. Add garlic. 
2. Combine bouillon, water, soy sauce and sugar. 
3. Let boil in a covered pan. Add beef and simmer, until beef is tender and sauce is of desired consistency. 
4. Add sigarilyas, simmer for 3 minutes. 
5. Remove from fire and garnish with green onions. 
","
Energy, kcal ;218 ;Thiamin, mg ;0.19 
Protein, g ;18.1 ;Riboflavin, mg ;0.20 
Calcium, mg ;41 ;Niacin, mg ;8.5 
Iron, mg ;2.7 ;Vitamin C, mg ;6 
Vitamin A, μg RE ;120 ;;
","
Serving size ;1 cup 
Weight per serving ;130g 
Number of serving ;5 servings 
",,,,'',fnri-2012-9bee,fnri
"
Brown Rice Macaroons 
","
1⁄2 ;cup ;Butter, softened
1⁄3 ;cup  ;Sugar, white
2 ;pcs  ;Chicken egg, slightly beaten 
1⁄2 ;cup  ;Flour, all purpose, sifted 
1⁄2 ;tsp  ;Baking powder, sifted
2 ;cups  ;Desiccated coconut
1 ;can  ;Milk, condensed
1 1⁄2 ;cup ;Brown rice, cooked
1⁄2 ;tsp ;Vanilla flavor 
48 ;pcs ;Fluted cups","
!Prepare brown rice: 
Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 
The proportion of brown rice to water is: 1 cup of rice to 1 3⁄4 cups of water. Allow the rice to soak in water for around 25 minutes before turning on the heat. Soaking in water before cooking helps to soften the grains and bring out full flavor. Cooking the brown rice with too much water makes the grains stick together and form into a paste. 
For this recipe, cook more than 1⁄2 cup rice in approximately 1 cup water. 
1.In a clean dry mixing bowl, combine margarine and sugar. Cream until light and fluffy. 
2.Add egg and blend well. 
3.Add flour, baking powder, desiccated coconut, milk, and rice. Blend well. Add vanilla last and mix thoroughly. 
4.Line a twelve-hole muffin molder (small size) with fluted cups. Spoon 2 tablespoons of the mixture for every cup. 
5.Bake at 375°F preheated oven for about 15 - 20 minutes or until golden brown. 
6.Remove from the oven and place in the wire rack to cool. 
","
Energy, kcal ;293 
Protein, g ;4.1 
Calcium, mg ;90 
Iron, mg ;0.6 
Vitamin A, μg RE ;119 
Thiamin, mg ;0.22 
Riboflavin, mg ;0.20 
Niacin, mg ;1.6 
Vitamin C, mg ;0 
","
Number of pieces ;48 pcs 
Serving size ;3 pcs/serving 
Number of serving ;16 servings 

",,,,'',fnri-2013-1bro,fnri
"
Brown Rice Alamang Sinangag 
","
2 ;Tbsp ;Cooking oil 
1 ;Tbsp ;Ginger, minced 
1 ;Tbsp ;Garlic, chopped 
2 ;Tbsp; Onion, Bombay, chopped
1/2 ;cup; Pork, kasim, ground 
3 ;Tbsp; Bagoong, alamang, raw
2 ;Tbsp; Sili, long, green, seeds removed and sliced diagonally 
1/3 ;cup ;Tomato sauce 
2 ;tsp ;Sugar, dissolved in water 
1⁄2 ;cup ;Water 
5 ;cups ;Brown rice, cooked 
1⁄2 ;cup ;Tomato, chopped 

!Toppings:
1 ;pc ;Chicken egg, cooked into omelet then sliced 
1 ;tsp pinch ;Cooking oil for frying Salt, fine 
3⁄4 ;cup ;Mango, carabao, unripe, cut into thin strips 
2 ;Tbsp ;Green onions, chopped ","
!Prepare brown rice: 
Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 
The proportion of brown rice to water is: 1 cup of rice to 1 3⁄4 cups of water. Allow the rice to soak in water for around 25 minutes before turning on the heat. Soaking in water before cooking helps to soften the grains and bring out full flavor. Cooking the brown rice with too much water makes the grains stick together and form into a paste. 

For this recipe, cook 2 cups rice in approximately 3 1⁄2 cups water. 
1.In a pan, heat oil. Sauté ginger, garlic, onion, pork, alamang and sili. 
2.Add tomato sauce. Mix well. 
3.Add water gradually while continuously mixing. 
4.Add brown rice. Mix well. 
5.Add tomatoes. Mix well. 
6.Garnish with green onions, mango and omelet. 
7.Serve hot. 
","
Energy, kcal ;376 
Protein, g ;10.8 
Calcium, mg Iron, mg;; ;118 1.8 
Vitamin A, μg RE ;92 
Thiamin, mg ;0.34 
Riboflavin, mg ;0.11 
Niacin, mg ;7.0 
Vitamin C, mg ;17 

","
Serving size ;1 cup 
Number of serving ;7 servings 
",,,,'',fnri-2013-10bro,fnri
"
Brown Seafood Rice Paella 
","
1 ;cup ;Shrimp, suahe, raw 
4 ;cups ;Shrimp stock 
1 ;cup ;Tahong, steamed, shelled 
1 ;cup ;Squid, cut into rings, raw 
2 ;Tbsp ;Garlic, chopped 
1⁄4 ;cup ;Onion, Bombay, chopped 
1 1⁄2 ;cup ;Tomato, chopped 
1⁄4 ;cup ;Bell pepper, green and red, strips 
1 ;tsp ;Saffron 
1 ;Tbsp ;Parsley, finely chopped 
2 ;cups ;Rice, brown, raw 
2 ;Tbsp ;Achuete extract 
1 ;tsp ;Salt 
1⁄2 ;tsp ;Pepper 
1⁄2 ;cup ;Carrot, finely chopped 
1⁄2 ;cup ;Peas, frozen 
1⁄4 ;cup ;Bell pepper, green and red finely chopped 
2 ;pcs ;Lemon, sliced, for garnish ","
!Prepare the following:
1. Shrimp and stock 
• Wash shrimp and drain. In a covered pan, cook shrimp until color turns orange. Let cool. Remove the heads and set aside. Remove shell but leave the tail intact. Slit the back part to remove dark vein. 
• Using mortar and pestle, pound the shrimp head. Simmer in 4 cups water for 10 minutes to extract the juice. 
2.Tahong 
• Use only live tahong with shells that are firmly closed. In a bowl, wash tahong in several changes of clean tap water. Using a scissor, cut the hairy beard. 
• In a covered steamer, steam for 10-15 minutes or until the shells open. Remove tahong from the shells. Cut the remaining beard. Set aside. 
3. Squid 
• Wash the squid. 
• Gently lift the head away from the body, pulling the entrails along. Discard the entrails including the ink. 
• Pinch the beak from the center of the tentacles, discard. 
• Simmer in a small amount of water until tender. Drain and set aside. 
4. Achuete extract 
• Add 1⁄4 cup of hot oil in 1⁄4 cup of achuete to extract the color. Strain. 
5.Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 

!Procedure:
1. In a pan, heat oil. Saute garlic, onion, tomato, bell pepper, saffron, and parsley for about 5 minutes. 
2. Add brown rice and achuete extract. Blend well until rice is thoroughly coated with oil. 
3. Season with salt and pepper. Add the shrimp stock gradually. Cover and cook for 30 minutes until rice is tender. 
4. Add the shrimp, mussels, squid, carrots and peas. Blend well. 
5. Remove from fire. Garnish with bell pepper and serve with lemon. 
","
Energy, kcal ;226 
Protein, g ;9.4 
Calcium, mg ;72 
Iron, mg ;1.6 
Vitamin A, μg RE ;230 
Thiamin, mg ;0.18 
Riboflavin, mg ;0.06 
Niacin, mg ;5.1 
Vitamin C, mg ;1.4 
","
Serving size ;1 cup 
Number of serving ;11 servings 
",,,,'',fnri-2013-11bro,fnri
"
Brown Rice con Ube 
","
2 ;cups ;Brown rice, raw 
6 ;pcs ;Pandan leaves, cut into 4 
8 ;cups ;Water 
1 1⁄2 ;cups ;Coconut milk, 1st extraction 
1 ;cup ;Ube, cubed 
1 ;can, tall ;Milk, condensed 
1 ;drop ;Food color, violet, food grade ","
1.In a saucepan, combine brown rice, pandan leaves and water. Bring to a boil and cook for 20 minutes, stirring occasionally. 
2.Add coconut milk, continuously stirring to avoid scorching. 
3.Add ube. Cover and simmer for 3 minutes. 
4.Add condensed milk and food color. Mix thoroughly until uniform in color. 
","
Energy, kcal ;316 
Protein, g ;7.2 
Calcium, mg ;110 
Iron, mg ;0.8 
Vitamin A, μg RE ;86 
Thiamin, mg ;0.34 
Riboflavin, mg ;0.21 
Niacin, mg ;3.5 
Vitamin C, mg ;1 
","
Serving size ;3⁄4 cup 
Number of serving ;13 servings 
",,,,'',fnri-2013-12bro,fnri
"
Brown Rice Kalamay in Syrup 
","
!Kalamay
1 1⁄2 ;cups ;Malagkit flour 
1 ;cup ;Brown rice, ground 
2 ;cups ;Water 

!Syrup
1 ;cup ;Sugar, white 
2 ;cups ;Water 
1 ;cup ;Jackfruit, ripe, strips 
1⁄4 ;cup ;Latik ","
!Prepare latik 
On a shallow pan, put 3⁄4 cup pure coconut milk and simmer over medium heat. Leave it to cook by itself. Mix only when the liquid has evaporated and the remaining curd separates from the oil and starts to fry into golden brown. Scrape the curd from the bottom of the pan to prevent it from sticking. Take care not to burn the curd. Set aside. 
1.In a bowl, combine malagkit flour, brown rice and water. Blend well to form into a thick batter. 
2.Pour in a molder and steam for 30 minutes or until cook. To test for doneness, stick a toothpick. If it comes out clean, then it is cooked already. 
3.Remove the kalamay from the steamer. Let the kalamay cool first before cutting into desired size. Set aside. 
4.In a sauce pan, boil water and sugar for 5 minutes. Add jackfruit and simmer for another 5 minutes. 
5.Drop each piece of kalamay. Let boil for 2 minutes. 
6.Add latik and simmer for another 2 minutes then serve. 
","
Energy, kcal ;236 
Protein, g ;3.4 
Calcium, mg ;23 
Iron, mg ;0.5 
Vitamin A, μg RE ;2 
Thiamin, mg ;0.1 
Riboflavin, mg ;0.02 
Niacin, mg ;2.1 
Vitamin C, mg ;1 
","
Serving size ;1⁄2 cup 
kalamay  ;1⁄2 cup 
syrup ;1⁄4 cup 
latik ;1 tsp 
Number of serving ;10 servings 
",,,,'',fnri-2013-2bro,fnri
"
Brown Pineapple Rice Sinangag 
","
2 ;Tbsp  ;Butter 
2 ;Tbsp  ;Green onions, white stem, sliced thinly 
1 ;Tbsp  ;Ginger , chopped 
1⁄2 ;cup  ;Shrimp, fresh, shelled 
1⁄2 ;cup  ;Chicken breast, strips 
2 ;Tbsp  ;Patis 
1⁄4 ;cup  ;Bell pepper, green, cubed 
1⁄4 ;cup  ;Bell pepper, red, cubed 
1⁄4 ;cup  ;Cashew nut, chopped 
5 ;cups  ;Brown rice, cooked 
1 ;cup  ;Pineapple, tidbits 
2 ;Tbsp  ;Green onion stem, sliced thinly ","
!Prepare brown rice: 
Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 
The proportion of brown rice to water is: 1 cup of rice to 1 3⁄4 cups of water. Allow the rice to soak in water for around 25 minutes before turning on the heat. Soaking in water before cooking helps to soften the grains and bring out full flavor. Cooking the brown rice with too much water makes the grains stick together and form into a paste. 
For this recipe, cook 2 cups rice in approximately 3 1⁄2 cups water. 
1. In a pan, melt butter. Sauté onion, ginger, chili, shrimp and chicken. 
2. Season with patis. 
3. Add bell pepper and cashew nut. 
4. Add rice and pineapple. Toss all ingredients until thoroughly heated. 
5. Add green onion and mix well. 
","
Energy, kcal ;446 
Protein, g ;18.3 
Calcium, mg ;75 
Iron, mg ;2.2 
Vitamin A, μg RE ;127 
Thiamin, mg ;0.41 
Riboflavin, mg ;0.12 
Niacin, mg ;11.4 
Vitamin C, mg ;12 
","
Serving size ;1 cup 
Number of serving ;5 1⁄2 servings 
",,,,'',fnri-2013-3bro,fnri
"
Brown Rice Mochi 
","
!Filling
1⁄4 ;cup ;Mongo, red 
4 ;cups ;Water 
1⁄2 ;cup ;Sugar, white 

!Mochi
1 1⁄2 ;cups ;Malagkit flour 
1⁄2 ;cup ;Brown rice, ground 
2 ;cups ;Water 

!Rolling mixture 
1 ;cup  ;Coconut, grated 
1⁄4 ;cup  ;Sugar, white 
1⁄8 ;cup  ;Sesame seeds, toasted 
","
1.	Prepare mongo filling. Boil mongo in water, turn to simmer for 30 minutes or until soft. 
2.	Mash mongo, add sugar and continue to cook until it becomes a thick paste. Set aside. 
3.	Mix malagkit and brown rice. Add 2 cups water and blend well to form into a paste. 
4.	Divide into 20 equal parts. 
5.	Initially, collect each part, and form into a ball. Use hands to flatten each ball. Make sure to grease hands occasionally with cooking oil to prevent rice mixture from sticking to the hands. 
6.	Squeeze thumb in the middle and put sweetened mongo in the center, fold edges tightly to form again into a ball. 
7.	Boil water over high heat. Drop each ball into boiling water. Take the balls out after cooking for 10-12 minutes. Drop in a bowl of cold water. 
8.	Drain. Roll the balls in the mixture of combined coconut, sugar and sesame seeds. 
","
Energy, kcal ;223 
Protein, g ;4.1 
Calcium, mg;17 
Iron, mg ;1.1 
Vitamin A, μg RE ;0 
Thiamin, mg ;0.11 
Riboflavin, mg ;0.03 
Niacin, mg ;1.8 
Vitamin C, mg ;0 

","
Serving size ;2 pcs 
Number of serving ;10 servings 
",,,,'',fnri-2013-4bro,fnri
"
Brown Rice- Cocobar 
","
2 ;cups ;Desiccated coconut 
3 ;pcs ;Pandan leaves, cut into 4 
1 ;can, big ;Condensed milk 
1 ;Tbsp ;Vanilla 
2 ;cups ;Brown rice, cooked ","
!Prepare brown rice: 
Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water.

The proportion of brown rice to water is: 1 cup of rice to 1 3⁄4 cups of water. 
Allow the rice to soak in water for around 25 minutes before turning on the heat. 
Soaking in water before cooking helps to soften the grains and bring out full flavor.
Cooking the brown rice with too much water makes the grains stick together and form into a paste. 

For this recipe, cook less than 1 cup rice in 1 1⁄2 cups water. 
1.In a pan, toast the desiccated coconut and pandan leaves over low fire. 
2.Add milk and vanilla, stir continuously for 3 minutes or until the mixture thickens. 
3.Add brown rice, stir continuously. Cook for 10 minutes. 
4.Brush oil on a tray molder and pour the mixture. Flatten to set. Let it cool. 
5.Cut into desired size or shape. 
","
Energy, kcal ;325 
Protein, g ;5.0 
Calcium, mg ;127 
Iron, mg ;0.3 
Vitamin A, μg RE ;111 
Thiamin, mg ;0.33 
Riboflavin, mg ;0.26 
Niacin, mg ;2.0 
Vitamin C, mg ;0 
","
Serving size ;3 pcs/serving 
Number of serving ;10 servings 
",,,,'',fnri-2013-5bro,fnri
